================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          .\med\full_pmu_rui.med
Arquivo do sistema:            .\sist\ieee14.cdf
Tolerância entre iteraçoes:    1.00e-005
Limite de iteraçoes:           10

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/19/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1962
Estação:                       W
Identificação:                 IEEE 14 Bus Test Case
Número de barras:              14 
Número de ramos:               20 
Referência na barra:           1

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
----------------------------------------------------------------------------------
   1    0    1  3   1  0 0.020 01.0  0.00000   +0.00000   -0.00002     +0.000000 
   2    0    2  3   2  0 0.020 01.0  0.00000   -0.08692   -0.08682     -0.115048 
   3    0    3  3   3  0 0.020 01.0  0.00000   -0.22218   -0.22232     +0.063012 
   4    0    4  3   4  0 0.020 01.0  0.00000   -0.17994   -0.17989     -0.027787 
   5    0    5  3   5  0 0.020 01.0  0.00000   -0.15307   -0.15328     +0.137192 
   6    0    6  3   6  0 0.020 01.0  0.00000   -0.24819   -0.24815     -0.016117 
   7    0    7  3   7  0 0.020 01.0  0.00000   -0.23318   -0.23314     -0.017154 
   8    0    8  3   8  0 0.020 01.0  0.00000   -0.23318   -0.23308     -0.042885 
   9    0    9  3   9  0 0.020 01.0  0.00000   -0.26075   -0.26087     +0.046021 
  10    0   10  3  10  0 0.020 01.0  0.00000   -0.26354   -0.26353     -0.003794 
  11    0   11  3  11  0 0.020 01.0  0.00000   -0.25813   -0.25831     +0.069732 
  12    0   12  3  12  0 0.020 01.0  0.00000   -0.26320   -0.26322     +0.007599 
  13    0   13  3  13  0 0.020 01.0  0.00000   -0.26459   -0.26468     +0.034015 
  14    0   14  3  14  0 0.020 01.0  0.00000   -0.27978   -0.27981     +0.010723 
