================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          .\med\full_pmu_marcio.med
Arquivo do sistema:            .\sist\ieee14.cdf
Tolerância entre iteraçoes:    1.00e-005
Limite de iteraçoes:           10

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/19/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1962
Estação:                       W
Identificação:                 IEEE 14 Bus Test Case
Número de barras:              14 
Número de ramos:               20 
Referência na barra:           1

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
----------------------------------------------------------------------------------
   1    0    1  6   1  0 0.010 01.0  0.00003   +1.06000   +1.05559     -0.416038 
   2    0    2  6   2  0 0.010 01.0  0.00000   +1.04500   +1.04304     -0.187560 
  15    0    1  3   1  0 0.020 01.0  0.00000   +0.00000   -0.00002     +0.000000 
  16    0    2  3   2  0 0.020 01.0  0.00000   -0.08692   -0.08694     +0.023010 
   3    0    3  6   3  0 0.010 01.0  0.00000   +1.01000   +1.00401     -0.593069 
   4    0    4  6   4  0 0.010 01.0  0.00000   +1.01800   +1.01263     -0.527505 
   5    0    5  6   5  0 0.010 01.0  0.00000   +1.02000   +1.02751     +0.736275 
   6    0    6  6   6  0 0.010 01.0  0.00000   +1.07000   +1.07030     +0.028037 
   7    0    7  6   7  0 0.010 01.0  0.00000   +1.06200   +1.05554     -0.608286 
   8    0    8  6   8  0 0.010 01.0  0.00000   +1.09000   +1.08978     -0.020183 
   9    0    9  6   9  0 0.010 01.0  0.00000   +1.05600   +1.05004     -0.564394 
  10    0   10  6  10  0 0.010 01.0  0.00000   +1.05100   +1.04391     -0.674596 
  11    0   11  6  11  0 0.010 01.0  0.00000   +1.05700   +1.05562     -0.130558 
  12    0   12  6  12  0 0.010 01.0  0.00000   +1.05500   +1.06003     +0.476777 
